ad_id,link,listing_type,Scraped_date,Дүүрэг,Байршил,Үнэ,Шал,Тагт,Гараж,Цонх,Хаалга,Цонхнытоо,Барилгынявц,Ашиглалтандорсонон,Барилгындавхар,Талбай,Хэдэндавхарт,Лизингээравахболомж,Үзсэн,ӨрөөнийТоо,Зарыг гарчиг,Зарын тайлбар,Нийтэлсэн
eb7069159ed76b14015eb97f0dc4c7f4,https://www.unegui.mn/adv/9336882_98-6-mkt-3-oroo/,sales,10/05/2025,УБ,"Баянзүрх, Баянзүрх, Хороо 26",450000000,Паркет,1 тагттай,Байхгүй,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,16,98.6 м²,13,N/A,Үзсэн:5,3 өрөө,N/A,Маш цэвэрхэн 3 өрөө байр бүх цонх баруун харсан. Өндөр давхарт дуу чимээ бага,Өнөөдөр 21:58
51bbbb6851d5211395666a97fec0fd85,https://www.unegui.mn/adv/9336798_khud-vega-city-khotkhond-96-mkv-mash-goio-zokhion-baiguulalttai-4-oroo-khudaldana/,sales,10/05/2025,УБ,"Хан-Уул, Хан-Уул, Хороо 15",790000000,Паркет,1 тагттай,Байгаа,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,16,96.8 м²,16,N/A,Үзсэн:19,4 өрөө,N/A,▪️Ногоон байгууламжруугаа харсан маш гоё харууцтай ▪️96.8 мкв 4 өрөө ▪️ Суурилсан тавилгууд үлдэнэ ▪️16/16 давхарт ▪️Хан уул емарт эргэн тойрны хамгийн гоё хотхоны нэг 70% ногоон байгууламжтай номин ххк бүтээн байгуулалт,Өнөөдөр 21:08
ab807a42689d5b7d018a3488135f77b4,https://www.unegui.mn/adv/9227392_tomor-zamd-gal-togoo-tusdaa-2-oroo-khudaldana/,sales,10/05/2025,УБ,"Баянгол, Төмөр зам",160000000,Паркет,1 тагттай,Байхгүй,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,5,54.0 м²,5,N/A,Үзсэн:64,2 өрөө,N/A,БГД төмөр зам угсармал байрны 2 өрөө байр худалдана ✅29мкв (хуучнаар) 54мкв (одоогоор) ✅5/5 давхарт ✅Хойшоо болон зүүн харсан цонхтой ✅Гал тогоо том өрөөг нийлүүлсэн ариун цэврийн өрөөг томруулан бүрэн засвар хийгдсэн,Өнөөдөр 19:37
7d5afb90f97fcdd9ff38ddee22f2fab7,https://www.unegui.mn/adv/9224889_rivergarden-khotkhond-4n-oroo-khudaldana/,sales,10/05/2025,УБ,"Хан-Уул, Хан-Уул, Хороо 17",960000000,Паркет,2 тагттай,Байгаа,Вакум,Төмөр,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,10,138.4 м²,8,N/A,Үзсэн:29,4 өрөө,N/A,"Худ 17-р хороо Ncd грүп бүтээн байгуулалт Маршлын гүүрний баруун талд 2015 онд ашиглалтанд орсон 138,4 мкв 4н өрөө худалдана 3н тийшээ харсан цонхтой 10 давхрын 8н давхарт Урагшаа харсан 3н цонхтой Баруун харсан 3н цонхтой Хойшоо харсан 1 цонхтой Дулаан зогсоол тусдаа 65 сая Засвар хийх шаардлагатай Хотхон 80% ногоон байгууламжтой Нийт 3 га газарт 300н айлын хотхон Сөх-н үйл ажиллагаа маш сайн Агаар сэлтэл, өрөөний зохион байгуулалт сайтай Цэвэр агаарт, уул ширтэх боломжтой",Өнөөдөр 18:11
237aa8460d1a5d03ed2ff24536573130,https://www.unegui.mn/adv/9302989_iaarmag-nukht-griin-art-khotkhon-uragshaa-kharsan-2-oroo-bair/,sales,10/05/2025,УБ,"Хан-Уул, Нүхтийн ам",130000000,Паркет,1 тагттай,Байхгүй,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,7,40.05 м²,2,N/A,Үзсэн:1889,2 өрөө,N/A,"Цэвэр агаарт, урагш харсан цонхтой гэрчилгээ бэлэн, гал тогооны тавилгатай.",Өнөөдөр 21:06
7bcdbb09bbb4dcc689ca1e72834cab0b,https://www.unegui.mn/adv/9335489_zaisand-seven-stars-3-n-oroo-bair-zarna/,sales,10/05/2025,УБ,"Хан-Уул, Хан-Уул, Хороо 11",420000000,Паркет,Тагтгүй,Байгаа,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,24,85.87 м²,1,N/A,Үзсэн:63,3 өрөө,N/A,"Зайсан толгойн хажууд шинээр ашиглалтанд орсон 1 давхрын байрлал сайтай 85.87м2 3-н өрөө орон сууц зарна. Үйлчилгээний зориулалтаар ашиглах боломжтой. Хүнсний дэлгүүр, салон, спа, шүд, гоо сайхны эмнэлэг ажиллуулах боломжтой. 1 зогсоолын хамт худалдана. Үнэ: 420 сая , зосгоолын үнэ 60 сая.",Өнөөдөр 14:31
35e4aea39af3bed8dd97f33258c10dfe,https://www.unegui.mn/adv/9335878_iaaraltai-khiamd-zarna/,sales,10/05/2025,УБ,"Сонгинохайрхан, 21-р хороолол",130000000,Паркет,1 тагттай,Байхгүй,Вакум,Төмөр,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,5,70.0 м²,5,N/A,Үзсэн:122,3 өрөө,N/A,Яаралтай хямд зарна Орчлон2 хороолол дулаахан байраа яаралтай зарна.,Өнөөдөр 15:44
cd59a8c0e2e8735f8d57f6c718a29316,https://www.unegui.mn/adv/9322052_zaisan-jarden-residence-khotkhond-189-mkv-4-oroo-bair-khudaldana/,sales,10/05/2025,УБ,"Хан-Уул, Зайсан",1250000000,Паркет,1 тагттай,Байгаа,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,6,189.0 м²,2,N/A,Үзсэн:39,4 өрөө,N/A,"Зайсан, 𝐉𝐚𝐫𝐝𝐢𝐧 𝐋𝐮𝐱𝐮𝐫𝐲 𝐑𝐞𝐬𝐢𝐝𝐞𝐧𝐜𝐞 өндөр зэрэглэлийн хотхонд 189.44 м.кв 4 өрөө орон сууц худалдана. 6/2 давхарт байрлалтай Баруун болон зүүн харсан цонхтой 2 тагттай Хотхондоо Jardin Wellness center /Фитнесс, бассейн, саун, жакуззи, спиннинг, массаж салонтой/, 24/7 харуул хамгаалалт, хотхондоо 3 харуултай, хотхон тойрсон бүрэн камержуулалттай СӨХ-ийн үйл ажиллагаа сайтай /ISO стандарт хэрэгжүүлсэн/ Давхартаа 2-3 айлтай, 2 орц гарцтай 1 дулаан зогсоолтой Үнэ: 1,250,000,000",Өнөөдөр 13:55
a7a044ec37dee322c400aff56abf5aae,https://www.unegui.mn/adv/9201825_bzd-baga-tenger-siti-baga-tenger-city-khotkhond-226-mkv-5-oroo-bair-khudaldana/,sales,10/05/2025,УБ,"Баянзүрх, Бага тэнгэрийн ам",1800000000,Паркет,1 тагттай,Байгаа,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,12,226.0 м²,7,N/A,Үзсэн:86,5+ өрөө,N/A,"🌱 Цэвэр агаарт 𝐁𝐚𝐠𝐚 𝐓𝐞𝐧𝐠𝐞𝐫 𝐂𝐢𝐭𝐲 - 𝐋𝐮𝐱𝐮𝐫𝐲 𝐑𝐞𝐬𝐢𝐝𝐞𝐧𝐜𝐞 хотхонд 226 м.кв 5 өрөө орон сууц #худалдана. Нийт үнэ: 1,800,000,000₮ Төлбөрийн нөхцөл: Бэлэн болон Банкны зээл. ▫️ 12/7 давхарт ▫️ Гэрчилгээ гарахад бэлэн, төлбөр тооцоо дууссан. ▫️ Урагшаа, баруун болон хойшоо Туул голруу харсан харагдацтай. ▫️ 3 а.ц өрөөтэй ✅ Хотхоны мэдээлэл: ✔️ Хотхон төвийн шугамд бүрэн холбогдсон ✔️ 24/7 харуул хамгаалалт, аюулгүй байдал, бүрэн камержуулалттай ✔️ Худалдаа үйлчилгээний газрууд төвлөрсөн ✔️ 640 хүүхдийн сургууль, цэцэрлэгтэй ✔️ Хүүхдийн тоглоомын талбай, Теннис, Гольф, сагсан бөмбөг, хөлбөмбөг, спорт комплекстой, ногоон байгууламж сайтай.",Өнөөдөр 13:59
6f984374deefcfd278a4e5b6bc40b085,https://www.unegui.mn/adv/9217777_zaisan-jardin-residence-khotkhond-374-66-mkv-dupleks-7-oroo-bair-khudaldan/,sales,10/05/2025,УБ,"Хан-Уул, Зайсан",2500000000,Паркет,1 тагттай,Байгаа,Вакум,Бүргэд,Ашиглалтад орсон,Цахилгаан шаттай эсэх:,Гараж:,6,374.0 м²,5,N/A,Үзсэн:418,5+ өрөө,N/A,"”Jardin Residence” тансаг зэрэглэлийн хотхонд 374.66 мкв дүплекс 7 өрөө худалдана Үнэ: 2,500,000,000 төг | - 6/5 давхарт байршилтай - Зогсоол тусдаа 70сая 2 зогсоол авах боломжтой - Өндөр давхарт, харууц байршил сайтай - Баруун болон зүүн харсан цонхтой - Дээд давхарт том өрөө, хооллох хэсэг, 2 гал тогоо, 1 ажлын өрөө, 1 ариун цэврийн өрөө, угаалгын машины өрөө үүдний хувцасны өрөөтэй - Доод давхарт 4 унтлага, дундын том өрөө, 2 ариун цэврийн өрөө, хувцасны өрөөтэй Байршил: Зайсан, Америк сургуулийн хажууд байршилтай",Өнөөдөр 13:55
